DATA;TÍTULO;VEICULO;CATEGORIA DO VEÍCULO;BLOCO TEMÁTICO;TEMA PRINCIPAL;TEMA 2;INFORMAÇÃO DUPLICADA;Categorias da Reparação Socioambiental;Assuntos relacionados à Categorias;URL;OBS
04/07/2024;Prefeituras atingidas pelo rompimento de barragens da Vale receberão apoio para intervenções em Saneamento Básico;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-governo-de-minas-e-instituicoes-de-justica-apresentam-a-prefeituras-detalhes-sobre-execucao-das-iniciativas-de-saneamento-basico;duplicado
04/07/2024;Prefeituras atingidas pelo rompimento de barragens da Vale receberão apoio para intervenções em Saneamento Básico;SEMAD;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;http://www.meioambiente.mg.gov.br/noticias/6296-prefeituras-atingidas-pelo-rompimento-de-barragens-da-vale-receberao-apoio-para-intervencoes-em-saneamento-basico;indisponível
05/07/2024;Reparação Brumadinho: Governo e instituições de Justiça repassam R$ 178,5 milhões para a execução de projetos em seis municípios atingidos;PRÓ-BRUMADINHO;Portal de Notícias;Meio Socioeconômico;Transversal;;NÃO;0 - Não aplicado;;https://www.mg.gov.br/pro-brumadinho/noticias/reparacao-brumadinho-governo-e-instituicoes-de-justica-repassam-r-1785-milhoes;
23/07/2024;Saúde prorroga prazo da consulta para elaboração do Protocolo de Saúde em casos de exposição a substâncias químicas;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/saude-prorroga-prazo-da-consulta-para-elaboracao-do-protocolo-de-saude-em-casos-de-exposicao-a-substancias-quimicas;
13/08/2024;Estado recebe novos contratados para atuar nas ações de recuperação socioambiental da Bacia do Paraopeba;IGAM;Portal de Notícias;Outros;Outros;;NÃO;0 - Não aplicado;;http://www.igam.mg.gov.br/banco-de-noticias/3090-estado-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba;disponível em https://meioambiente.mg.gov.br/w/estado-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba?p_l_back_url=%2Fnoticias%3Flimit%3D30%26sectionid%3D1%26task%3Dcategory%26delta%3D4%26start%3D6
13/08/2024;Minas recebe novos contratados para atuar nas ações de recuperação socioambiental da Bacia do Paraopeba;AGÊNCIA MINAS;Portal de Notícias;Outros;Outros;;SIM;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/minas-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba;
13/08/2024;Estado recebe novos contratados para atuar nas ações de recuperação socioambiental da Bacia do Paraopeba;FEAM;Portal de Notícias;Outros;Outros;;SIM;0 - Não aplicado;;http://www.feam.br/banco-de-noticias/2452-estado-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba;indisponível
13/08/2024;Estado recebe novos contratados para atuar nas ações de recuperação socioambiental da Bacia do Paraopeba;IEF;Portal de Notícias;Outros;Outros;;SIM;0 - Não aplicado;;http://www.ief.mg.gov.br/noticias/4075-estado-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba;indisponível
13/08/2024;Estado recebe novos contratados para atuar nas ações de recuperação socioambiental da Bacia do Paraopeba;SEMAD;Portal de Notícias;Outros;Outros;;SIM;0 - Não aplicado;;http://www.meioambiente.mg.gov.br/noticias/6337-estado-recebe-novos-contratados-para-atuar-nas-acoes-de-recuperacao-socioambiental-da-bacia-do-paraopeba;indisponível
23/08/2024;Justiça homologa acordo extrajudicial entre Brumadinho e a Vale;TJMG;Portal de Notícias;Meio Socioeconômico;Transversal;;NÃO;0 - Não aplicado;;https://www.tjmg.jus.br/portal-tjmg/noticias/justica-homologa-acordo-extrajudicial-entre-bumadinho-e-a-vale.htm#:~:text=A%20Justi%C3%A7a%20de%20Minas%20Gerais,em%20conta%20a%20ser%20criada;indisponível
